Slab_ID,Pour_Time,Ambient_Temp,Humidity,Water_Cement_Ratio,Time_Since_Pour,Strength
SLAB_0025,2025-03-04 02:44:13.519918,32.16,66.81,0.454,8697.42,151.89
SLAB_0026,2025-03-04 05:05:54.519918,34.88,74.38,0.522,8695.06,168.71
SLAB_0027,2025-03-04 08:08:53.519918,41.56,92.04,0.428,8692.01,249.15
SLAB_0028,2025-03-04 11:58:09.519918,31.7,71.89,0.528,8688.19,149.98
SLAB_0029,2025-03-04 12:24:48.519918,28.48,69.71,0.398,8687.75,136.26
SLAB_0030,2025-03-04 15:40:08.519918,39.24,42.77,0.406,8684.49,218.27
SLAB_0031,2025-03-04 17:43:07.519918,41.52,43.46,0.361,8682.44,242.73
SLAB_0032,2025-03-04 20:22:42.519918,27.01,50.3,0.509,8679.78,116.67
SLAB_0033,2025-03-04 20:23:51.519918,29.8,41.79,0.433,8679.76,139.11
SLAB_0034,2025-03-04 20:59:30.519918,27.84,80.88,0.396,8679.17,133.56
SLAB_0035,2025-03-05 00:05:58.519918,31.96,79.78,0.396,8676.06,161.13
SLAB_0036,2025-03-05 04:36:20.519918,34.01,47.48,0.53,8671.55,167.79
SLAB_0037,2025-03-05 05:51:30.519918,39.98,85.98,0.517,8670.3,217.77
SLAB_0038,2025-03-05 07:05:31.519918,38.02,48.51,0.461,8669.07,196.11
SLAB_0039,2025-03-05 19:23:08.519918,37.42,56.56,0.473,8656.77,190.73
SLAB_0040,2025-03-05 23:55:24.519918,32.05,53.69,0.445,8652.24,155.9
SLAB_0041,2025-03-05 23:57:28.519918,41.83,60.48,0.428,8652.2,241.74
SLAB_0042,2025-03-06 00:41:31.519918,34.43,54.01,0.533,8651.47,166.38
SLAB_0043,2025-03-06 02:38:02.519918,44.58,66.89,0.375,8649.52,295.91
SLAB_0044,2025-03-06 04:01:02.519918,37.68,62.41,0.434,8648.14,202.14
SLAB_0045,2025-03-06 04:01:44.519918,27.53,94.26,0.419,8648.13,131.85
SLAB_0046,2025-03-06 04:08:11.519918,38.52,43.08,0.45,8648.02,202.06
SLAB_0047,2025-03-06 04:11:34.519918,31.5,47.82,0.442,8647.97,145.47
SLAB_0048,2025-03-06 09:49:02.519918,38.73,42.91,0.454,8642.34,216.43
SLAB_0049,2025-03-06 09:59:58.519918,26.39,74.42,0.378,8642.16,113.54
SLAB_0050,2025-03-06 15:11:51.519918,28.5,43.0,0.453,8636.96,127.08
SLAB_0051,2025-03-06 15:13:23.519918,42.11,86.0,0.398,8636.94,274.92
SLAB_0052,2025-03-06 15:28:37.519918,29.54,68.16,0.387,8636.68,145.39
SLAB_0053,2025-03-06 15:47:53.519918,41.74,68.99,0.363,8636.36,270.51
SLAB_0054,2025-03-06 16:41:57.519918,30.59,70.89,0.503,8635.46,138.3
SLAB_0055,2025-03-06 16:59:27.519918,37.86,49.39,0.435,8635.17,206.51
SLAB_0056,2025-03-06 19:27:50.519918,38.88,50.87,0.475,8632.7,203.34
SLAB_0057,2025-03-06 21:53:02.519918,35.25,57.53,0.496,8630.28,172.64
SLAB_0058,2025-03-07 04:33:28.519918,31.11,72.64,0.486,8623.6,140.05
SLAB_0059,2025-03-07 04:34:04.519918,29.25,51.56,0.444,8623.59,129.26
SLAB_0060,2025-03-07 04:36:46.519918,25.66,46.4,0.428,8623.55,112.98
SLAB_0061,2025-03-07 06:22:14.519918,31.08,93.36,0.425,8621.79,150.4
SLAB_0062,2025-03-07 06:43:55.519918,38.06,41.21,0.478,8621.43,202.72
SLAB_0063,2025-03-07 07:22:09.519918,43.77,84.15,0.449,8620.79,280.26
SLAB_0064,2025-03-07 12:08:41.519918,42.42,83.34,0.52,8616.01,255.73
SLAB_0065,2025-03-07 15:14:57.519918,40.32,56.35,0.525,8612.91,235.24
SLAB_0066,2025-03-07 15:53:23.519918,40.77,47.46,0.384,8612.27,235.88
SLAB_0067,2025-03-07 17:46:57.519918,38.3,48.01,0.377,8610.38,216.68
SLAB_0068,2025-03-07 20:42:00.519918,30.21,78.36,0.476,8607.46,139.57
SLAB_0069,2025-03-07 20:43:31.519918,43.14,75.35,0.41,8607.43,263.47
SLAB_0070,2025-03-07 20:59:54.519918,38.41,83.05,0.354,8607.16,225.44
SLAB_0071,2025-03-07 22:12:46.519918,36.21,91.56,0.528,8605.95,196.04
SLAB_0072,2025-03-08 01:00:57.519918,27.22,78.06,0.395,8603.14,119.15
SLAB_0073,2025-03-08 01:24:20.519918,33.94,48.57,0.536,8602.75,154.29
SLAB_0074,2025-03-08 02:37:03.519918,34.21,53.39,0.493,8601.54,161.36
SLAB_0075,2025-03-08 02:47:59.519918,42.29,86.32,0.503,8601.36,264.57
SLAB_0076,2025-03-08 02:57:02.519918,35.93,51.51,0.39,8601.21,194.07
SLAB_0077,2025-03-08 12:19:41.519918,32.61,43.99,0.397,8591.83,159.54
SLAB_0078,2025-03-08 13:56:25.519918,44.54,78.68,0.454,8590.22,289.46
SLAB_0079,2025-03-08 20:42:57.519918,27.21,62.14,0.384,8583.44,127.28
SLAB_0080,2025-03-08 23:57:48.519918,33.45,90.6,0.411,8580.2,177.72
SLAB_0081,2025-03-09 00:28:42.519918,25.84,75.76,0.414,8579.68,117.69
SLAB_0082,2025-03-09 02:56:15.519918,39.8,44.97,0.382,8577.22,236.35
SLAB_0083,2025-03-09 04:44:00.519918,43.36,92.13,0.391,8575.43,289.78
SLAB_0084,2025-03-09 05:14:58.519918,30.6,54.22,0.508,8574.91,137.55
SLAB_0085,2025-03-09 07:48:02.519918,42.17,58.55,0.383,8572.36,270.47
SLAB_0086,2025-03-09 11:42:08.519918,30.84,62.12,0.356,8568.46,156.48
SLAB_0087,2025-03-09 12:18:49.519918,43.22,42.82,0.476,8567.85,247.47
SLAB_0088,2025-03-09 14:18:48.519918,40.08,67.31,0.545,8565.85,212.88
SLAB_0089,2025-03-09 15:37:14.519918,41.1,46.78,0.416,8564.54,252.41
SLAB_0090,2025-03-09 16:07:27.519918,25.36,62.05,0.374,8564.03,108.91
SLAB_0091,2025-03-09 16:44:21.519918,44.26,59.29,0.464,8563.42,289.9
SLAB_0092,2025-03-10 03:46:31.519918,39.53,82.51,0.531,8552.38,219.33
SLAB_0093,2025-03-10 09:56:10.519918,31.1,84.17,0.507,8546.22,140.88
SLAB_0094,2025-03-10 17:49:00.519918,41.59,48.44,0.475,8538.34,231.68
SLAB_0095,2025-03-10 18:24:33.519918,30.63,60.16,0.413,8537.75,139.73
SLAB_0096,2025-03-10 19:18:20.519918,42.46,60.53,0.458,8536.85,250.82
SLAB_0097,2025-03-10 19:48:05.519918,27.25,48.33,0.368,8536.36,121.57
SLAB_0098,2025-03-10 21:50:33.519918,39.07,83.91,0.486,8534.32,225.66
SLAB_0099,2025-03-10 22:02:20.519918,35.81,78.9,0.495,8534.12,195.37
SLAB_0100,2025-03-10 23:07:04.519918,26.93,50.47,0.543,8533.04,111.07
SLAB_0101,2025-03-11 04:56:15.519918,29.84,60.17,0.402,8527.22,139.7
SLAB_0102,2025-03-11 06:05:58.519918,25.25,45.82,0.354,8526.06,109.88
SLAB_0103,2025-03-11 12:03:55.519918,34.38,74.55,0.459,8520.09,175.63
SLAB_0104,2025-03-11 12:20:17.519918,31.03,46.68,0.491,8519.82,141.23
SLAB_0105,2025-03-11 14:42:24.519918,36.97,94.23,0.508,8517.45,189.79
SLAB_0106,2025-03-11 15:02:23.519918,30.94,82.94,0.389,8517.12,144.65
SLAB_0107,2025-03-12 01:07:33.519918,31.0,61.46,0.402,8507.03,142.38
SLAB_0108,2025-03-12 10:36:01.519918,39.86,71.82,0.453,8497.56,220.93
SLAB_0109,2025-03-12 13:08:51.519918,25.96,90.12,0.416,8495.01,118.96
SLAB_0110,2025-03-12 13:17:32.519918,43.06,70.48,0.522,8494.87,253.19
SLAB_0111,2025-03-12 16:51:56.519918,42.05,49.6,0.445,8491.29,260.46
SLAB_0112,2025-03-12 17:13:08.519918,38.36,60.83,0.51,8490.94,215.05
SLAB_0113,2025-03-12 17:57:00.519918,36.86,86.37,0.466,8490.21,209.84
SLAB_0114,2025-03-12 18:29:13.519918,42.85,75.43,0.505,8489.67,272.95
SLAB_0115,2025-03-12 20:03:28.519918,28.71,75.79,0.417,8488.1,129.82
SLAB_0116,2025-03-12 20:54:15.519918,26.58,87.68,0.516,8487.25,115.51
SLAB_0117,2025-03-13 00:52:13.519918,29.79,89.17,0.405,8483.29,138.69
SLAB_0118,2025-03-13 00:58:22.519918,40.89,90.59,0.459,8483.19,253.73
SLAB_0119,2025-03-13 02:49:03.519918,25.69,45.22,0.393,8481.34,114.76
SLAB_0120,2025-03-13 03:57:45.519918,36.66,69.93,0.445,8480.2,203.33
SLAB_0121,2025-03-13 06:05:01.519918,44.91,80.73,0.414,8478.08,299.15
SLAB_0122,2025-03-13 07:32:06.519918,42.11,81.63,0.403,8476.62,271.56
SLAB_0123,2025-03-13 13:56:45.519918,35.43,73.37,0.543,8470.21,170.94
SLAB_0124,2025-03-13 18:29:54.519918,26.27,49.17,0.382,8465.66,109.68
SLAB_0125,2025-03-13 21:59:32.519918,41.63,83.86,0.507,8462.17,254.74
SLAB_0126,2025-03-13 22:06:59.519918,36.98,79.61,0.547,8462.04,192.13
SLAB_0127,2025-03-13 22:45:33.519918,27.3,44.74,0.354,8461.4,128.3
SLAB_0128,2025-03-14 00:02:52.519918,26.88,65.51,0.49,8460.11,111.07
SLAB_0129,2025-03-14 02:04:12.519918,43.19,49.57,0.401,8458.09,279.2
SLAB_0130,2025-03-14 05:51:12.519918,38.38,58.56,0.358,8454.31,218.62
SLAB_0131,2025-03-14 05:52:19.519918,41.59,40.99,0.431,8454.29,252.1
SLAB_0132,2025-03-14 10:14:03.519918,42.58,62.02,0.537,8449.92,259.05
SLAB_0133,2025-03-14 11:00:15.519918,36.44,70.24,0.352,8449.15,210.18
SLAB_0134,2025-03-14 12:37:57.519918,35.35,74.08,0.468,8447.53,179.37
SLAB_0135,2025-03-14 14:47:10.519918,33.61,76.49,0.45,8445.37,176.8
SLAB_0136,2025-03-14 15:42:16.519918,31.34,86.0,0.525,8444.45,142.4
SLAB_0137,2025-03-14 18:48:08.519918,33.69,51.85,0.367,8441.36,163.96
SLAB_0138,2025-03-15 09:54:14.519918,40.48,46.63,0.486,8426.25,225.98
SLAB_0139,2025-03-15 11:23:53.519918,37.04,86.83,0.486,8424.76,207.12
SLAB_0140,2025-03-15 11:27:20.519918,42.85,48.61,0.484,8424.7,255.46
SLAB_0141,2025-03-15 13:47:54.519918,33.87,93.61,0.538,8422.36,174.0
SLAB_0142,2025-03-15 15:50:41.519918,37.14,86.34,0.515,8420.31,203.72
SLAB_0143,2025-03-15 16:50:48.519918,37.63,67.55,0.358,8419.31,206.82
SLAB_0144,2025-03-15 17:29:39.519918,36.83,93.98,0.444,8418.66,212.55
SLAB_0145,2025-03-15 20:54:14.519918,39.05,45.36,0.43,8415.25,207.26
SLAB_0146,2025-03-16 00:55:36.519918,29.75,56.67,0.412,8411.23,143.19
SLAB_0147,2025-03-16 01:35:21.519918,35.25,75.1,0.44,8410.57,180.76
SLAB_0148,2025-03-16 02:55:24.519918,27.08,59.25,0.427,8409.24,119.23
SLAB_0149,2025-03-16 03:47:50.519918,32.69,91.06,0.436,8408.36,163.57
SLAB_0150,2025-03-16 05:11:08.519918,34.75,43.61,0.546,8406.97,160.98
SLAB_0151,2025-03-16 05:17:52.519918,38.04,70.22,0.368,8406.86,214.22
SLAB_0152,2025-03-16 06:13:26.519918,44.01,72.5,0.534,8405.94,263.95
SLAB_0153,2025-03-16 06:46:59.519918,37.01,75.9,0.446,8405.38,195.23
SLAB_0154,2025-03-16 08:55:54.519918,39.87,54.06,0.475,8403.23,216.75
SLAB_0155,2025-03-16 09:08:52.519918,35.13,60.05,0.516,8403.01,174.62
SLAB_0156,2025-03-16 09:33:35.519918,37.68,86.4,0.422,8402.6,218.75
SLAB_0157,2025-03-16 11:51:41.519918,26.42,50.72,0.436,8400.3,114.34
SLAB_0158,2025-03-16 15:21:18.519918,30.09,85.48,0.432,8396.8,149.09
SLAB_0159,2025-03-16 15:37:59.519918,32.24,70.95,0.425,8396.53,160.52
SLAB_0160,2025-03-16 16:48:35.519918,34.45,81.92,0.535,8395.35,174.87
SLAB_0161,2025-03-17 01:29:59.519918,25.91,79.25,0.516,8386.66,112.22
SLAB_0162,2025-03-17 03:54:27.519918,27.8,51.41,0.372,8384.25,124.93
SLAB_0163,2025-03-17 08:50:57.519918,30.54,71.28,0.372,8379.31,151.01
SLAB_0164,2025-03-17 11:02:21.519918,44.43,87.72,0.436,8377.12,281.3
SLAB_0165,2025-03-17 11:27:56.519918,31.63,63.77,0.37,8376.69,161.3
SLAB_0166,2025-03-17 13:25:52.519918,34.64,93.16,0.474,8374.73,184.79
SLAB_0167,2025-03-17 17:07:35.519918,28.92,64.87,0.379,8371.03,131.41
SLAB_0168,2025-03-17 18:15:02.519918,37.22,47.85,0.454,8369.91,201.7
SLAB_0169,2025-03-17 21:03:58.519918,30.61,61.42,0.351,8367.09,141.2
SLAB_0170,2025-03-17 21:29:44.519918,29.14,92.34,0.413,8366.66,134.6
SLAB_0171,2025-03-17 22:05:47.519918,35.33,57.58,0.485,8366.06,170.61
SLAB_0172,2025-03-17 23:30:58.519918,25.11,87.75,0.447,8364.64,112.75
SLAB_0173,2025-03-18 00:50:52.519918,25.15,88.47,0.546,8363.31,108.4
SLAB_0174,2025-03-18 00:51:39.519918,29.38,59.26,0.525,8363.3,133.46
SLAB_0175,2025-03-18 03:22:40.519918,25.73,44.58,0.422,8360.78,103.92
SLAB_0176,2025-03-18 05:11:29.519918,27.16,79.85,0.359,8358.97,125.83
SLAB_0177,2025-03-18 08:18:00.519918,31.78,57.13,0.519,8355.86,149.63
SLAB_0178,2025-03-18 08:27:17.519918,41.05,83.06,0.532,8355.7,230.73
SLAB_0179,2025-03-18 11:17:41.519918,36.44,64.35,0.514,8352.86,190.63
SLAB_0180,2025-03-18 18:03:28.519918,35.25,66.69,0.376,8346.1,179.8
SLAB_0181,2025-03-18 18:14:19.519918,30.87,82.79,0.55,8345.92,137.52
SLAB_0182,2025-03-18 21:03:36.519918,43.64,61.03,0.402,8343.1,278.09
SLAB_0183,2025-03-19 00:51:54.519918,32.94,64.37,0.495,8339.29,160.91
SLAB_0184,2025-03-19 02:16:15.519918,26.74,60.69,0.532,8337.89,108.39
SLAB_0185,2025-03-19 03:31:14.519918,37.34,60.2,0.397,8336.64,198.64
SLAB_0186,2025-03-19 06:16:38.519918,27.28,68.93,0.532,8333.88,113.22
SLAB_0187,2025-03-19 11:05:02.519918,31.9,84.48,0.412,8329.08,154.63
SLAB_0188,2025-03-19 14:48:10.519918,35.15,59.9,0.545,8325.36,168.19
SLAB_0189,2025-03-20 00:34:40.519918,42.48,68.83,0.406,8315.58,262.72
SLAB_0190,2025-03-20 00:42:48.519918,34.87,76.89,0.541,8315.45,176.67
SLAB_0191,2025-03-20 01:02:48.519918,39.05,54.82,0.361,8315.11,223.78
SLAB_0192,2025-03-20 06:04:47.519918,44.86,55.26,0.492,8310.08,290.92
SLAB_0193,2025-03-20 06:52:24.519918,27.63,91.34,0.456,8309.29,128.28
SLAB_0194,2025-03-20 09:14:39.519918,30.49,79.79,0.446,8306.91,139.43
SLAB_0195,2025-03-20 10:22:08.519918,32.89,71.75,0.395,8305.79,158.46
SLAB_0196,2025-03-20 13:34:43.519918,33.44,75.62,0.491,8302.58,171.02
SLAB_0197,2025-03-20 14:25:01.519918,33.22,41.61,0.388,8301.74,156.84
SLAB_0198,2025-03-20 15:48:45.519918,43.15,74.0,0.461,8300.35,260.23
SLAB_0199,2025-03-20 15:53:08.519918,39.28,68.02,0.401,8300.27,216.54
SLAB_0200,2025-03-20 16:14:53.519918,37.16,70.02,0.541,8299.91,196.24
SLAB_0201,2025-03-20 16:20:43.519918,31.19,59.77,0.356,8299.81,153.65
SLAB_0202,2025-03-20 17:00:38.519918,41.48,44.48,0.39,8299.15,259.88
SLAB_0203,2025-03-20 17:48:01.519918,44.1,50.63,0.398,8298.36,293.11
SLAB_0204,2025-03-20 19:34:53.519918,41.42,92.29,0.433,8296.58,253.56
SLAB_0205,2025-03-21 02:33:31.519918,25.03,62.48,0.397,8289.6,107.08
SLAB_0206,2025-03-21 05:49:47.519918,37.73,65.67,0.448,8286.33,201.83
SLAB_0207,2025-03-21 06:19:49.519918,26.02,42.9,0.524,8285.83,102.63
SLAB_0208,2025-03-21 07:37:24.519918,30.15,42.07,0.492,8284.54,129.11
SLAB_0209,2025-03-21 10:34:52.519918,26.19,79.44,0.466,8281.58,110.13
SLAB_0210,2025-03-21 11:31:02.519918,37.08,69.6,0.368,8280.64,198.93
SLAB_0211,2025-03-21 11:39:31.519918,38.73,67.98,0.489,8280.5,208.0
SLAB_0212,2025-03-21 11:59:40.519918,27.29,53.37,0.383,8280.16,119.54
SLAB_0213,2025-03-21 12:46:40.519918,32.68,80.96,0.507,8279.38,165.67
SLAB_0214,2025-03-21 13:23:57.519918,34.12,49.25,0.4,8278.76,173.45
SLAB_0215,2025-03-21 14:41:07.519918,32.38,50.45,0.433,8277.47,163.05
SLAB_0216,2025-03-21 17:43:06.519918,27.42,65.34,0.42,8274.44,120.96
SLAB_0217,2025-03-22 06:34:23.519918,33.38,55.75,0.522,8261.59,158.14
SLAB_0218,2025-03-22 09:40:40.519918,40.02,53.61,0.375,8258.48,230.46
SLAB_0219,2025-03-22 09:46:20.519918,26.42,75.49,0.463,8258.39,111.74
SLAB_0220,2025-03-22 16:22:05.519918,26.6,75.8,0.378,8251.79,116.34
SLAB_0221,2025-03-22 19:06:45.519918,32.1,85.35,0.491,8249.05,162.35
SLAB_0222,2025-03-22 19:43:40.519918,43.83,62.97,0.531,8248.43,280.66
SLAB_0223,2025-03-22 21:27:17.519918,38.37,44.02,0.437,8246.7,199.17
SLAB_0224,2025-03-22 21:52:48.519918,38.57,55.05,0.448,8246.28,205.0
SLAB_0225,2025-03-22 23:25:43.519918,32.24,93.9,0.535,8244.73,154.0
SLAB_0226,2025-03-23 00:42:34.519918,36.87,72.79,0.454,8243.45,192.23
SLAB_0227,2025-03-23 03:51:40.519918,25.2,79.04,0.448,8240.3,107.69
SLAB_0228,2025-03-23 04:33:13.519918,37.72,40.4,0.466,8239.61,191.52
SLAB_0229,2025-03-23 06:14:22.519918,43.27,68.5,0.488,8237.92,265.46
SLAB_0230,2025-03-23 11:35:11.519918,37.25,42.06,0.371,8232.57,197.61
SLAB_0231,2025-03-23 14:22:54.519918,42.47,71.31,0.514,8229.78,250.91
SLAB_0232,2025-03-23 14:54:37.519918,39.48,90.64,0.437,8229.25,222.41
SLAB_0233,2025-03-23 15:25:56.519918,27.41,93.26,0.364,8228.73,128.13
SLAB_0234,2025-03-23 21:41:02.519918,43.05,69.73,0.507,8222.48,274.81
SLAB_0235,2025-03-23 21:51:52.519918,26.33,65.2,0.425,8222.29,113.34
SLAB_0236,2025-03-23 23:09:01.519918,35.68,91.98,0.37,8221.01,204.82
SLAB_0237,2025-03-24 00:56:05.519918,27.84,77.05,0.477,8219.22,128.27
SLAB_0238,2025-03-24 00:56:42.519918,25.23,43.57,0.526,8219.21,106.52
SLAB_0239,2025-03-24 01:12:15.519918,33.44,65.61,0.528,8218.95,165.33
SLAB_0240,2025-03-24 01:49:45.519918,30.9,53.21,0.542,8218.33,140.45
SLAB_0241,2025-03-24 02:58:01.519918,34.72,65.84,0.524,8217.19,177.94
SLAB_0242,2025-03-24 04:45:56.519918,36.54,65.05,0.35,8215.39,193.33
SLAB_0243,2025-03-24 04:49:58.519918,25.87,72.02,0.426,8215.33,112.92
SLAB_0244,2025-03-24 05:09:09.519918,27.46,59.62,0.514,8215.01,123.22
SLAB_0245,2025-03-24 05:12:17.519918,36.17,49.03,0.423,8214.95,194.16
SLAB_0246,2025-03-24 10:46:55.519918,31.86,67.7,0.47,8209.38,158.99
SLAB_0247,2025-03-24 11:08:01.519918,39.58,85.66,0.471,8209.03,234.98
SLAB_0248,2025-03-24 12:42:25.519918,38.05,76.52,0.423,8207.45,221.97
SLAB_0249,2025-03-24 12:55:40.519918,41.91,58.61,0.531,8207.23,247.82
SLAB_0250,2025-03-24 13:43:17.519918,38.85,91.45,0.451,8206.44,229.52
SLAB_0251,2025-03-24 15:30:26.519918,33.6,90.17,0.443,8204.65,172.49
SLAB_0252,2025-03-24 15:53:01.519918,38.46,51.51,0.55,8204.28,210.46
SLAB_0253,2025-03-24 16:21:36.519918,30.51,42.17,0.449,8203.8,143.44
SLAB_0254,2025-03-24 17:59:19.519918,31.13,80.77,0.386,8202.17,158.8
SLAB_0255,2025-03-24 18:13:13.519918,40.78,85.52,0.453,8201.94,248.42
SLAB_0256,2025-03-24 23:09:25.519918,33.93,93.23,0.513,8197.0,167.35
SLAB_0257,2025-03-25 01:40:20.519918,40.97,88.94,0.505,8194.49,230.86
SLAB_0258,2025-03-25 06:55:52.519918,41.45,73.03,0.508,8189.23,254.04
SLAB_0259,2025-03-25 07:11:35.519918,42.15,69.15,0.492,8188.97,254.64
SLAB_0260,2025-03-25 08:52:26.519918,43.33,41.53,0.401,8187.28,263.56
SLAB_0261,2025-03-25 15:39:45.519918,33.62,53.57,0.522,8180.5,154.73
SLAB_0262,2025-03-25 16:46:24.519918,31.38,65.28,0.529,8179.39,149.1
SLAB_0263,2025-03-25 17:17:53.519918,36.64,74.57,0.389,8178.86,208.64
SLAB_0264,2025-03-26 01:11:51.519918,32.42,70.65,0.376,8170.96,168.16
SLAB_0265,2025-03-26 09:03:07.519918,37.02,80.84,0.545,8163.11,197.19
SLAB_0266,2025-03-26 10:58:40.519918,39.11,55.39,0.524,8161.18,208.77
SLAB_0267,2025-03-26 21:13:06.519918,38.77,71.07,0.529,8150.94,207.06
SLAB_0268,2025-03-27 00:33:56.519918,32.49,44.85,0.527,8147.59,142.23
SLAB_0269,2025-03-27 06:17:52.519918,28.34,62.75,0.458,8141.86,130.51
SLAB_0270,2025-03-27 07:22:32.519918,33.61,81.26,0.479,8140.78,161.15
SLAB_0271,2025-03-27 08:51:01.519918,27.85,78.14,0.459,8139.31,126.75
SLAB_0272,2025-03-27 08:59:32.519918,42.8,94.49,0.36,8139.17,282.42
SLAB_0273,2025-03-27 11:41:14.519918,31.92,55.28,0.499,8136.47,148.99
SLAB_0274,2025-03-27 12:52:40.519918,28.09,67.4,0.451,8135.28,131.01
SLAB_0275,2025-03-27 14:11:34.519918,25.51,58.12,0.48,8133.97,102.09
SLAB_0276,2025-03-27 18:26:54.519918,37.92,64.23,0.451,8129.71,213.11
SLAB_0277,2025-03-27 18:27:22.519918,37.74,87.13,0.448,8129.7,201.47
SLAB_0278,2025-03-27 20:28:52.519918,31.81,77.63,0.384,8127.68,151.3
SLAB_0279,2025-03-27 20:35:59.519918,26.43,88.53,0.406,8127.56,119.02
SLAB_0280,2025-03-27 23:53:19.519918,33.19,51.19,0.382,8124.27,158.42
SLAB_0281,2025-03-28 07:51:48.519918,31.22,88.03,0.389,8116.3,159.77
SLAB_0282,2025-03-28 08:21:36.519918,38.54,43.29,0.545,8115.8,201.88
SLAB_0283,2025-03-28 08:44:16.519918,37.12,88.87,0.381,8115.42,200.63
SLAB_0284,2025-03-28 08:47:40.519918,32.29,58.1,0.404,8115.36,150.69
SLAB_0285,2025-03-28 09:17:18.519918,29.36,57.3,0.468,8114.87,133.46
SLAB_0286,2025-03-28 09:18:15.519918,44.76,68.16,0.472,8114.85,296.94
SLAB_0287,2025-03-28 10:18:25.519918,34.08,91.74,0.381,8113.85,180.05
SLAB_0288,2025-03-28 14:05:39.519918,38.77,42.63,0.509,8110.06,207.47
SLAB_0289,2025-03-28 18:00:19.519918,27.81,59.37,0.507,8106.15,123.58
SLAB_0290,2025-03-28 19:06:33.519918,34.71,87.11,0.397,8105.05,186.97
SLAB_0291,2025-03-28 20:49:31.519918,25.55,61.78,0.408,8103.33,107.91
SLAB_0292,2025-03-28 21:33:02.519918,35.11,50.95,0.538,8102.61,173.36
SLAB_0293,2025-03-28 23:21:51.519918,44.28,63.36,0.515,8100.79,278.81
SLAB_0294,2025-03-29 01:31:44.519918,32.68,61.21,0.49,8098.63,159.85
SLAB_0295,2025-03-29 01:55:29.519918,25.78,90.35,0.366,8098.23,119.23
SLAB_0296,2025-03-29 03:04:20.519918,25.62,81.91,0.434,8097.09,117.92
SLAB_0297,2025-03-29 03:52:35.519918,32.76,67.78,0.462,8096.28,154.88
SLAB_0298,2025-03-29 10:12:01.519918,28.2,94.36,0.387,8089.96,139.51
SLAB_0299,2025-03-29 10:56:14.519918,25.47,65.59,0.44,8089.22,109.92
SLAB_0300,2025-03-29 12:32:16.519918,40.12,43.2,0.47,8087.62,228.1
SLAB_0301,2025-03-29 14:28:32.519918,34.17,54.43,0.415,8085.68,165.49
SLAB_0302,2025-03-29 14:42:40.519918,30.78,63.98,0.506,8085.45,139.36
SLAB_0303,2025-03-29 18:33:58.519918,43.0,48.63,0.518,8081.59,261.31
SLAB_0304,2025-03-29 21:45:24.519918,27.32,92.12,0.415,8078.4,128.31
SLAB_0305,2025-03-29 22:24:02.519918,44.12,82.18,0.518,8077.76,265.65
SLAB_0306,2025-03-30 03:39:00.519918,31.28,54.76,0.371,8072.51,152.06
SLAB_0307,2025-03-30 06:16:25.519918,42.77,72.49,0.518,8069.89,247.67
SLAB_0308,2025-03-30 08:01:18.519918,37.06,79.68,0.381,8068.14,218.22
